classification_prompt,genre
"Tell me about the movie Xanadu released in 1980. It is directed by Robert Greenwald and stars Olivia Newton-John, duration of movie is 96.0 minutes. What is Genre of this movie?",Fantasy
"Tell me about the movie Urban Cowboy released in 1980. It is directed by James Bridges and stars John Travolta, duration of movie is 132.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Altered States released in 1980. It is directed by Ken Russell and stars William Hurt, duration of movie is 102.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Little Darlings released in 1980. It is directed by Ron Maxwell and stars Tatum O'Neal, duration of movie is 96.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Raise the Titanic released in 1980. It is directed by Jerry Jameson and stars Jason Robards, duration of movie is 115.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Brubaker released in 1980. It is directed by Stuart Rosenberg and stars Robert Redford, duration of movie is 131.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie American Gigolo released in 1980. It is directed by Paul Schrader and stars Richard Gere, duration of movie is 117.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie My Bodyguard released in 1980. It is directed by Tony Bill and stars Chris Makepeace, duration of movie is 102.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Prom Night released in 1980. It is directed by Paul Lynch and stars Leslie Nielsen, duration of movie is 92.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Smokey and the Bandit II released in 1980. It is directed by Hal Needham and stars Burt Reynolds, duration of movie is 100.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Cattle Annie and Little Britches released in 1980. It is directed by Lamont Johnson and stars Scott Glenn, duration of movie is 97.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Seems Like Old Times released in 1980. It is directed by Jay Sandrich and stars Goldie Hawn, duration of movie is 102.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Private Benjamin released in 1980. It is directed by Howard Zieff and stars Goldie Hawn, duration of movie is 109.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Hollywood Knights released in 1980. It is directed by Floyd Mutrux and stars Tony Danza, duration of movie is 91.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Motel Hell released in 1980. It is directed by Kevin Connor and stars Rory Calhoun, duration of movie is 101.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Jazz Singer released in 1980. It is directed by Richard Fleischer and stars Laurence Olivier, duration of movie is 115.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Coal Miner's Daughter released in 1980. It is directed by Michael Apted and stars Sissy Spacek, duration of movie is 124.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie The Watcher in the Woods released in 1980. It is directed by John Hough and stars Bette Davis, duration of movie is 84.0 minutes. What is Genre of this movie?",Family
"Tell me about the movie Breaker Morant released in 1980. It is directed by Bruce Beresford and stars Edward Woodward, duration of movie is 107.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie The Stunt Man released in 1980. It is directed by Richard Rush and stars Peter O'Toole, duration of movie is 131.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Where the Buffalo Roam released in 1980. It is directed by Art Linson and stars Peter Boyle, duration of movie is 99.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie The Awakening released in 1980. It is directed by Mike Newell and stars Charlton Heston, duration of movie is 101.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Cheech and Chong's Next Movie released in 1980. It is directed by Tommy Chong and stars Cheech Marin, duration of movie is 99.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Island released in 1980. It is directed by Michael Ritchie and stars Michael Caine, duration of movie is 109.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie The Boogey Man released in 1980. It is directed by Ulli Lommel and stars Suzanna Love, duration of movie is 82.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie The Nude Bomb released in 1980. It is directed by Clive Donner and stars Don Adams, duration of movie is 94.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Lion of the Desert released in 1980. It is directed by Moustapha Akkad and stars Anthony Quinn, duration of movie is 173.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie Stardust Memories released in 1980. It is directed by Woody Allen and stars Woody Allen, duration of movie is 89.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Melvin and Howard released in 1980. It is directed by Jonathan Demme and stars Paul Le Mat, duration of movie is 95.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Can't Stop the Music released in 1980. It is directed by Nancy Walker and stars Ray Simpson, duration of movie is 124.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie Bronco Billy released in 1980. It is directed by Clint Eastwood and stars Clint Eastwood, duration of movie is 116.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie City of Women released in 1980. It is directed by Federico Fellini and stars Marcello Mastroianni, duration of movie is 139.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Private Eyes released in 1980. It is directed by Lang Elliott and stars Tim Conway, duration of movie is 91.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie When Time Ran Out... released in 1980. It is directed by James Goldstone and stars Paul Newman, duration of movie is 121.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Oh Heavenly Dog released in 1980. It is directed by Joe Camp and stars Chevy Chase, duration of movie is 103.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Octagon released in 1980. It is directed by Eric Karson and stars Chuck Norris, duration of movie is 103.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Hangar 18 released in 1980. It is directed by James L. Conway and stars Darren McGavin, duration of movie is 97.0 minutes. What is Genre of this movie?",Sci-Fi
"Tell me about the movie Herbie Goes Bananas released in 1980. It is directed by Vincent McEveety and stars Charles Martin Smith, duration of movie is 100.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie The Competition released in 1980. It is directed by Joel Oliansky and stars Richard Dreyfuss, duration of movie is 123.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie It's My Turn released in 1980. It is directed by Claudia Weill and stars Jill Clayburgh, duration of movie is 91.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Honeysuckle Rose released in 1980. It is directed by Jerry Schatzberg and stars Willie Nelson, duration of movie is 119.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Resurrection released in 1980. It is directed by Daniel Petrie and stars Ellen Burstyn, duration of movie is 103.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Fatso released in 1980. It is directed by Anne Bancroft and stars Dom DeLuise, duration of movie is 93.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Moscow Does Not Believe in Tears released in 1980. It is directed by Vladimir Menshov and stars Vera Alentova, duration of movie is 150.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Fiendish Plot of Dr. Fu Manchu released in 1980. It is directed by Piers Haggard and stars Peter Sellers, duration of movie is 100.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Serial released in 1980. It is directed by Bill Persky and stars Martin Mull, duration of movie is 86.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Hero at Large released in 1980. It is directed by Martin Davidson and stars John Ritter, duration of movie is 98.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Wholly Moses! released in 1980. It is directed by Gary Weis and stars Dudley Moore, duration of movie is 103.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Bon Voyage, Charlie Brown (and Don't Come Back!!) released in 1980. It is directed by Bill Melendez and stars Scott Beach, duration of movie is 75.0 minutes. What is Genre of this movie?",Animation
"Tell me about the movie In God We Trust (or Gimme That Prime Time Religion) released in 1980. It is directed by Marty Feldman and stars Marty Feldman, duration of movie is 97.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Roadie released in 1980. It is directed by Alan Rudolph and stars Meat Loaf, duration of movie is 106.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Just Tell Me What You Want released in 1980. It is directed by Sidney Lumet and stars Ali MacGraw, duration of movie is 112.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Last Flight of Noah's Ark released in 1980. It is directed by Charles Jarrott and stars Elliott Gould, duration of movie is 97.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Little Miss Marker released in 1980. It is directed by Walter Bernstein and stars Walter Matthau, duration of movie is 103.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Willie & Phil released in 1980. It is directed by Paul Mazursky and stars Michael Ontkean, duration of movie is 115.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Babylon released in 1980. It is directed by Franco Rosso and stars David N. Haynes, duration of movie is 95.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Windwalker released in 1980. It is directed by Kieth Merrill and stars Trevor Howard, duration of movie is 108.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Phobia released in 1980. It is directed by John Huston and stars Paul Michael Glaser, duration of movie is 94.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Windows released in 1980. It is directed by Gordon Willis and stars Talia Shire, duration of movie is 96.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Loving Couples released in 1980. It is directed by Jack Smight and stars Shirley MacLaine, duration of movie is 97.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The King and the Mockingbird released in 1980. It is directed by Paul Grimault and stars Jean Martin, duration of movie is 83.0 minutes. What is Genre of this movie?",Animation
"Tell me about the movie Oh, God! Book II released in 1980. It is directed by Gilbert Cates and stars George Burns, duration of movie is 94.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Those Lips, Those Eyes released in 1980. It is directed by Michael Pressman and stars Frank Langella, duration of movie is 105.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie La Cage aux Folles II released in 1980. It is directed by Édouard Molinaro and stars Michel Serrault, duration of movie is 102.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Gong Show Movie released in 1980. It is directed by Chuck Barris and stars Chuck Barris, duration of movie is 89.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Gilda Live released in 1980. It is directed by Mike Nichols and stars Gilda Radner, duration of movie is 96.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Why Would I Lie? released in 1980. It is directed by Larry Peerce and stars Treat Williams, duration of movie is 105.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie First Family released in 1980. It is directed by Buck Henry and stars Bob Newhart, duration of movie is 97.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Mantis Fist Fighter released in 1980. It is directed by Wing-Cho Yip and stars Ka-Yan Leung, duration of movie is 89.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Indiana Jones and the Raiders of the Lost Ark released in 1981. It is directed by Steven Spielberg and stars Harrison Ford, duration of movie is 115.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Body Heat released in 1981. It is directed by Lawrence Kasdan and stars William Hurt, duration of movie is 113.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie An American Werewolf in London released in 1981. It is directed by John Landis and stars David Naughton, duration of movie is 97.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Escape from New York released in 1981. It is directed by John Carpenter and stars Kurt Russell, duration of movie is 99.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie The Evil Dead released in 1981. It is directed by Sam Raimi and stars Bruce Campbell, duration of movie is 85.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Porky's released in 1981. It is directed by Bob Clark and stars Dan Monahan, duration of movie is 94.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Blow Out released in 1981. It is directed by Brian De Palma and stars John Travolta, duration of movie is 108.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie Clash of the Titans released in 1981. It is directed by Desmond Davis and stars Laurence Olivier, duration of movie is 118.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Excalibur released in 1981. It is directed by John Boorman and stars Nigel Terry, duration of movie is 140.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Mad Max 2 released in 1981. It is directed by George Miller and stars Mel Gibson, duration of movie is 96.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Das Boot released in 1981. It is directed by Wolfgang Petersen and stars Jürgen Prochnow, duration of movie is 149.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Stripes released in 1981. It is directed by Ivan Reitman and stars Bill Murray, duration of movie is 106.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Possession released in 1981. It is directed by Andrzej Zulawski and stars Isabelle Adjani, duration of movie is 124.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie The Cannonball Run released in 1981. It is directed by Hal Needham and stars Burt Reynolds, duration of movie is 95.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Thief released in 1981. It is directed by Michael Mann and stars James Caan, duration of movie is 123.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Endless Love released in 1981. It is directed by Franco Zeffirelli and stars Brooke Shields, duration of movie is 116.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Time Bandits released in 1981. It is directed by Terry Gilliam and stars Sean Connery, duration of movie is 110.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie The Four Seasons released in 1981. It is directed by Alan Alda and stars Alan Alda, duration of movie is 107.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Friday the 13th Part 2 released in 1981. It is directed by Steve Miner and stars Betsy Palmer, duration of movie is 87.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Scanners released in 1981. It is directed by David Cronenberg and stars Jennifer O'Neill, duration of movie is 103.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie For Your Eyes Only released in 1981. It is directed by John Glen and stars Roger Moore, duration of movie is 127.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Halloween II released in 1981. It is directed by Rick Rosenthal and stars Jamie Lee Curtis, duration of movie is 92.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Taps released in 1981. It is directed by Harold Becker and stars George C. Scott, duration of movie is 126.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Reds released in 1981. It is directed by Warren Beatty and stars Warren Beatty, duration of movie is 195.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie On Golden Pond released in 1981. It is directed by Mark Rydell and stars Katharine Hepburn, duration of movie is 109.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie The Fox and the Hound released in 1981. It is directed by Directors and stars Mickey Rooney, duration of movie is 83.0 minutes. What is Genre of this movie?",Animation
"Tell me about the movie Chariots of Fire released in 1981. It is directed by Hugh Hudson and stars Ben Cross, duration of movie is 125.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie Absence of Malice released in 1981. It is directed by Sydney Pollack and stars Paul Newman, duration of movie is 116.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Tarzan the Ape Man released in 1981. It is directed by John Derek and stars Bo Derek, duration of movie is 115.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Victory released in 1981. It is directed by John Huston and stars Michael Caine, duration of movie is 116.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Arthur released in 1981. It is directed by Steve Gordon and stars Dudley Moore, duration of movie is 97.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie My Dinner with Andre released in 1981. It is directed by Louis Malle and stars Andre Gregory, duration of movie is 110.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie Caveman released in 1981. It is directed by Carl Gottlieb and stars Ringo Starr, duration of movie is 91.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Dead & Buried released in 1981. It is directed by Gary Sherman and stars James Farentino, duration of movie is 94.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie History of the World: Part I released in 1981. It is directed by Mel Brooks and stars Mel Brooks, duration of movie is 92.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Howling released in 1981. It is directed by Joe Dante and stars Dee Wallace, duration of movie is 91.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Dragonslayer released in 1981. It is directed by Matthew Robbins and stars Peter MacNicol, duration of movie is 109.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Cutter's Way released in 1981. It is directed by Ivan Passer and stars Jeff Bridges, duration of movie is 109.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie Quest for Fire released in 1981. It is directed by Jean-Jacques Annaud and stars Everett McGill, duration of movie is 100.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie The Final Conflict released in 1981. It is directed by Graham Baker and stars Sam Neill, duration of movie is 108.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Mommie Dearest released in 1981. It is directed by Frank Perry and stars Faye Dunaway, duration of movie is 129.0 minutes. What is Genre of this movie?",Biography
"Tell me about the movie Private Lessons released in 1981. It is directed by Alan Myerson and stars Sylvia Kristel, duration of movie is 87.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Postman Always Rings Twice released in 1981. It is directed by Bob Rafelson and stars Jack Nicholson, duration of movie is 122.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie Ragtime released in 1981. It is directed by Milos Forman and stars James Cagney, duration of movie is 155.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Deadly Blessing released in 1981. It is directed by Wes Craven and stars Maren Jensen, duration of movie is 100.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Eyewitness released in 1981. It is directed by Peter Yates and stars William Hurt, duration of movie is 103.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie Gallipoli released in 1981. It is directed by Peter Weir and stars Mel Gibson, duration of movie is 110.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Outland released in 1981. It is directed by Peter Hyams and stars Sean Connery, duration of movie is 109.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Southern Comfort released in 1981. It is directed by Walter Hill and stars Keith Carradine, duration of movie is 106.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie S.O.B. released in 1981. It is directed by Blake Edwards and stars Julie Andrews, duration of movie is 122.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Beyond released in 1981. It is directed by Lucio Fulci and stars Catriona MacColl, duration of movie is 87.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Ghost Story released in 1981. It is directed by John Irvin and stars Craig Wasson, duration of movie is 110.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie My Bloody Valentine released in 1981. It is directed by George Mihalka and stars Paul Kelman, duration of movie is 90.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie The Funhouse released in 1981. It is directed by Tobe Hooper and stars Elizabeth Berridge, duration of movie is 96.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie One from the Heart released in 1981. It is directed by Francis Ford Coppola and stars Frederic Forrest, duration of movie is 107.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie The French Lieutenant's Woman released in 1981. It is directed by Karel Reisz and stars Meryl Streep, duration of movie is 124.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie The Great Muppet Caper released in 1981. It is directed by Jim Henson and stars Jim Henson, duration of movie is 97.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie True Confessions released in 1981. It is directed by Ulu Grosbard and stars Robert De Niro, duration of movie is 108.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie Looker released in 1981. It is directed by Michael Crichton and stars Albert Finney, duration of movie is 93.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Nighthawks released in 1981. It is directed by Bruce Malmuth and stars Sylvester Stallone, duration of movie is 99.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Nice Dreams released in 1981. It is directed by Tommy Chong and stars Cheech Marin, duration of movie is 88.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Sharky's Machine released in 1981. It is directed by Burt Reynolds and stars Burt Reynolds, duration of movie is 122.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Neighbors released in 1981. It is directed by John G. Avildsen and stars John Belushi, duration of movie is 94.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Puberty Blues released in 1981. It is directed by Bruce Beresford and stars Nell Schofield, duration of movie is 87.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Eye of the Needle released in 1981. It is directed by Richard Marquand and stars Donald Sutherland, duration of movie is 112.0 minutes. What is Genre of this movie?",Romance
"Tell me about the movie Wolfen released in 1981. It is directed by Michael Wadleigh and stars Albert Finney, duration of movie is 115.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Student Bodies released in 1981. It is directed by Mickey Rose and stars Kristen Riter, duration of movie is 86.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Prince of the City released in 1981. It is directed by Sidney Lumet and stars Treat Williams, duration of movie is 167.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie The Hand released in 1981. It is directed by Oliver Stone and stars Michael Caine, duration of movie is 104.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Continental Divide released in 1981. It is directed by Michael Apted and stars John Belushi, duration of movie is 103.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Diva released in 1981. It is directed by Jean-Jacques Beineix and stars Wilhelmenia Fernandez, duration of movie is 117.0 minutes. What is Genre of this movie?",Music
"Tell me about the movie Venom released in 1981. It is directed by Piers Haggard and stars Klaus Kinski, duration of movie is 92.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Fort Apache the Bronx released in 1981. It is directed by Daniel Petrie and stars Paul Newman, duration of movie is 125.0 minutes. What is Genre of this movie?",Crime
"Tell me about the movie Eyes of a Stranger released in 1981. It is directed by Ken Wiederhorn and stars Lauren Tewes, duration of movie is 84.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Zorro: The Gay Blade released in 1981. It is directed by Peter Medak and stars George Hamilton, duration of movie is 93.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Under the Rainbow released in 1981. It is directed by Steve Rash and stars Chevy Chase, duration of movie is 98.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Carbon Copy released in 1981. It is directed by Michael Schultz and stars George Segal, duration of movie is 92.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Incredible Shrinking Woman released in 1981. It is directed by Joel Schumacher and stars Lily Tomlin, duration of movie is 88.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie The Night the Lights Went Out in Georgia released in 1981. It is directed by Ron Maxwell and stars Kristy McNichol, duration of movie is 112.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Quartet released in 1981. It is directed by James Ivory and stars Isabelle Adjani, duration of movie is 101.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Graduation Day released in 1981. It is directed by Herb Freed and stars Christopher George, duration of movie is 96.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie Modern Problems released in 1981. It is directed by Ken Shapiro and stars Chevy Chase, duration of movie is 93.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Pennies from Heaven released in 1981. It is directed by Herbert Ross and stars Steve Martin, duration of movie is 108.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie American Pop released in 1981. It is directed by Ralph Bakshi and stars Mews Small, duration of movie is 96.0 minutes. What is Genre of this movie?",Animation
"Tell me about the movie The Legend of the Lone Ranger released in 1981. It is directed by William A. Fraker and stars Klinton Spilsbury, duration of movie is 98.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Sphinx released in 1981. It is directed by Franklin J. Schaffner and stars Lesley-Anne Down, duration of movie is 118.0 minutes. What is Genre of this movie?",Adventure
"Tell me about the movie Night School released in 1981. It is directed by Ken Hughes and stars Leonard Mann, duration of movie is 88.0 minutes. What is Genre of this movie?",Horror
"Tell me about the movie An Eye for an Eye released in 1981. It is directed by Steve Carver and stars Chuck Norris, duration of movie is 106.0 minutes. What is Genre of this movie?",Action
"Tell me about the movie Zoot Suit released in 1981. It is directed by Luis Valdez and stars Daniel Valdez, duration of movie is 103.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Rich and Famous released in 1981. It is directed by George Cukor and stars Jacqueline Bisset, duration of movie is 117.0 minutes. What is Genre of this movie?",Drama
"Tell me about the movie Buddy Buddy released in 1981. It is directed by Billy Wilder and stars Jack Lemmon, duration of movie is 96.0 minutes. What is Genre of this movie?",Comedy
"Tell me about the movie Bustin' Loose released in 1981. It is directed by Oz Scott and stars Richard Pryor, duration of movie is 94.0 minutes. What is Genre of this movie?",Comedy
